gene_symbol	phenotypes
ISG15	"Immunodeficiency 38, 616126 (3), Autosomal recessive"
AGRN	"Myasthenic syndrome, congenital, 8, with pre- and postsynaptic defects, 615120 (3), Autosomal recessive"
TNFRSF4	"?Immunodeficiency 16, 615593 (3), Autosomal recessive"
B3GALT6	"Al-Gazali syndrome, 609465 (3); Ehlers-Danlos syndrome, spondylodysplastic type, 2, 615349 (3), Autosomal recessive; Spondyloepimetaphyseal dysplasia with joint laxity, type 1, with or without fractures, 271640 (3), Autosomal recessive"
DVL1	"Robinow syndrome, autosomal dominant 2, 616331 (3), Autosomal dominant"
ATAD3A	"?Pontocerebellar hypoplasia, hypotonia, and respiratory insufficiency syndrome, neonatal lethal, 618810 (3), Autosomal recessive; Harel-Yoon syndrome, 617183 (3), Autosomal recessive, Autosomal dominant"
TMEM240	"Spinocerebellar ataxia 21, 607454 (3), Autosomal dominant"
GNB1	"Mental retardation, autosomal dominant 42, 616973 (3), Autosomal dominant; Leukemia, acute lymphoblastic, somatic, 613065 (3)"
GABRD	"{Epilepsy, juvenile myoclonic, susceptibility to}, 613060 (3), Autosomal dominant; {Epilepsy, idiopathic generalized, 10}, 613060 (3), Autosomal dominant; {Epilepsy, generalized, with febrile seizures plus, type 5, susceptibility to}, 613060 (3), Autosomal dominant"
SKI	"Shprintzen-Goldberg syndrome, 182212 (3), Autosomal dominant"
PEX10	"Peroxisome biogenesis disorder 6B, 614871 (3), Autosomal recessive; Peroxisome biogenesis disorder 6A (Zellweger), 614870 (3), Autosomal recessive"
PRDM16	"Left ventricular noncompaction 8, 615373 (3), Autosomal dominant; Cardiomyopathy, dilated, 1LL, 615373 (3), Autosomal dominant"
SMIM1	"[Blood group, Vel system], 615264 (3), Autosomal recessive"
CEP104	"Joubert syndrome 25, 616781 (3), Autosomal recessive"
NPHP4	"Nephronophthisis 4, 606966 (3), Autosomal recessive; Senior-Loken syndrome 4, 606996 (3), Autosomal recessive"
ESPN	"?Usher syndrome, type 1M, 618632 (3), Autosomal recessive; Deafness, autosomal recessive 36, 609006 (3), Autosomal recessive; Deafness, neurosensory, without vestibular involvement, autosomal dominant, 609006 (3), Autosomal recessive"
PLEKHG5	"Spinal muscular atrophy, distal, autosomal recessive, 4, 611067 (3), Autosomal recessive; Charcot-Marie-Tooth disease, recessive intermediate C, 615376 (3), Autosomal recessive"
CAMTA1	"Cerebellar ataxia, nonprogressive, with mental retardation, 614756 (3), Autosomal dominant"
PER3	"?Advanced sleep phase syndrome, familial, 3, 616882 (3), Autosomal dominant"
PARK7	"Parkinson disease 7, autosomal recessive early-onset, 606324 (3), Autosomal recessive"
SLC45A1	"Intellectual developmental disorder with neuropsychiatric features, 617532 (3), Autosomal recessive"
RERE	"Neurodevelopmental disorder with or without anomalies of the brain, eye, or heart, 616975 (3), Autosomal dominant"
ENO1	Enolase deficiency (1)
H6PD	"Cortisone reductase deficiency 1, 604931 (3), Autosomal recessive"
